u1, [1][10][10]
[0][0], -1728, -2449, -3099, -3585, -3254, -2406, -1252, 662, 2483, 2910
[0][1], -1686, -1985, -2508, -3397, -3501, -3268, -2700, -705, 1834, 2728
[0][2], -223, -864, -864, -1152, -1427, -1717, -1992, -1211, 791, 2235
[0][3], 1924, 1664, 1555, 1551, 1190, 430, -459, -453, 914, 2055
[0][4], 2869, 3660, 3561, 3069, 2378, 1453, 601, 479, 953, 1237
[0][5], 2012, 2885, 3172, 2734, 2141, 1453, 795, 420, -98, -415
[0][6], 685, 1311, 1566, 1458, 1174, 762, 327, -113, -779, -1281
[0][7], -135, 336, 408, 261, -1, -305, -509, -664, -932, -1326
[0][8], -628, -593, -482, -575, -792, -1064, -1290, -1280, -1125, -1202
[0][9], -903, -1244, -1158, -1036, -1219, -1432, -1556, -1551, -1223, -1041

